model,n,val_sd,val_rng,test_sd,test_rng,test_min,test_max,ratio
bert-tiny,6,0.002341854780187018,0.004675348785788902,0.01482948538276279,0.038946601551087645,0.8811686738052442,0.9201152753563319,8.3
bert-mini,6,0.0005448791141424665,0.001334659507693181,0.018434994542269153,0.042829213181844406,0.8986244648243573,0.9414536780062017,32.1
electra-small,6,0.00027220491643517835,0.0006667631507430993,0.020743631673770364,0.0545714811587481,0.8930513209934945,0.9476228021522426,81.8
tinybert-4l,6,0.002010979303805429,0.0046733300388410726,0.044872235760138136,0.11535425091497031,0.8839695817764007,0.999323832691371,24.7
minilm-l6,6,0.002068668618219704,0.004005959553593397,0.021023454163590926,0.056262776457783215,0.8824454682222101,0.9387082446799934,14.0
