epoch,train_loss,val_loss,epoch_seconds,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mcc,val_tp,val_fp,val_tn,val_fn,val_false_positive_rate,val_false_negative_rate,val_pr_auc,val_roc_auc
1,0.31407494623277377,0.017820205063895977,292.20651187503245,0.9982631350412505,0.9961480381794751,0.9989316239316239,0.9925690021231423,0.9957401490947817,0.9946573621917656,935.0,1.0,3663.0,7.0,0.0002729257641921397,0.0074309978768577496,0.999926511117725,0.9999808778126998
2,0.009072631326835391,0.004159202527295664,297.8633949169889,0.9995657837603127,0.9997270742358079,0.9978813559322034,1.0,0.9989395546129375,0.9986674425798219,942.0,2.0,3662.0,0.0,0.0005458515283842794,0.0,1.0,1.0
3,0.004366724355845876,0.0035492936329448235,290.8965184999979,0.9993486756404689,0.9995906113537119,0.9968253968253968,1.0,0.9984101748807631,0.9980026146387657,942.0,3.0,3661.0,0.0,0.0008187772925764192,0.0,1.0,1.0
4,0.005178398460970023,0.00029919464089570036,289.7098981249728,1.0,1.0,1.0,1.0,1.0,1.0,942.0,0.0,3664.0,0.0,0.0,0.0,1.0,1.0
5,0.0017694351624766883,0.003524844144466238,289.4443263330031,0.9995657837603127,0.9997270742358079,0.9978813559322034,1.0,0.9989395546129375,0.9986674425798219,942.0,2.0,3662.0,0.0,0.0005458515283842794,0.0,1.0,1.0
6,0.004283100588529392,0.0018068511104909805,289.14670575002674,0.9997828918801563,0.9998635371179039,0.9989395546129375,1.0,0.9994694960212201,0.9993332368492569,942.0,1.0,3663.0,0.0,0.0002729257641921397,0.0,0.9999977473285432,0.9999994205397787
7,0.001711939667105736,0.004063434297804863,290.71768262499245,0.9993486756404689,0.9995906113537119,0.9968253968253968,1.0,0.9984101748807631,0.9980026146387657,942.0,3.0,3661.0,0.0,0.0008187772925764192,0.0,1.0,1.0
8,0.0010100828973325562,0.0034044125971255043,289.5116232499713,0.9995657837603127,0.9997270742358079,0.9978813559322034,1.0,0.9989395546129375,0.9986674425798219,942.0,2.0,3662.0,0.0,0.0005458515283842794,0.0,1.0,1.0
