model,n,params,mcc_m,mcc_s,mcc_min,mcc_max,f1_m,prec_m,rec_m,rec_s,fn_m,pr_auc_m
bert-tiny,6,4386178,0.8932188257775963,0.01482948538276279,0.8811686738052442,0.9201152753563319,0.907825525738965,0.9993389147937863,0.8318887685084868,0.022637245739368077,155.16666666666666,0.9728076194427047
bert-mini,6,11171074,0.9231747908563647,0.018434994542269153,0.8986244648243573,0.9414536780062017,0.9348905946253575,1.0,0.8781148429035753,0.02889919538103825,112.5,0.989752619662108
electra-small,6,13549314,0.9074800366183008,0.020743631673770364,0.8930513209934945,0.9476228021522426,0.9207226259133745,1.0,0.8535572408811846,0.03254180867139055,135.16666666666666,0.9903651441704774
tinybert-4l,6,14350874,0.9206614029809311,0.044872235760138136,0.8839695817764007,0.999323832691371,0.9318234417531114,1.0,0.8745034308414591,0.07081121728936765,115.83333333333333,0.9769175024327373
minilm-l6,6,22713986,0.8971255240174828,0.021023454163590926,0.8824454682222101,0.9387082446799934,0.9113552335809455,0.9991181657848324,0.8382087396171903,0.032239211204533866,149.33333333333334,0.9540591216769602
