epoch,train_loss,val_loss,epoch_seconds,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mcc,val_tp,val_fp,val_tn,val_fn,val_false_positive_rate,val_false_negative_rate,val_pr_auc,val_roc_auc
1,0.2523899841738492,0.015414423905143169,315.9826075419551,0.9980460269214069,0.9956172526168423,0.9989304812834224,0.9915074309978769,0.9952051145444859,0.9939890446102811,934.0,1.0,3663.0,8.0,0.0002729257641921397,0.008492569002123142,0.9972510301106364,0.9989568267367582
2,0.01864638988055367,0.012935418109286171,319.7725470419973,0.9982631350412505,0.9957537154989384,1.0,0.9915074309978769,0.9957356076759062,0.9946593809387134,934.0,0.0,3664.0,8.0,0.0,0.008492569002123142,0.9980052789747336,0.9992368508886602
3,0.01644972587644567,0.012763767535907439,326.11821158300154,0.9982631350412505,0.9957537154989384,1.0,0.9915074309978769,0.9957356076759062,0.9946593809387134,934.0,0.0,3664.0,8.0,0.0,0.008492569002123142,0.9979852347292831,0.9992191773519131
4,0.015278596148194682,0.003822661784710666,328.39276762498775,0.9995657837603127,0.9989384288747346,1.0,0.9978768577494692,0.9989373007438895,0.9986653404923068,940.0,0.0,3664.0,2.0,0.0,0.0021231422505307855,0.9989445676233617,0.9994596533437172
5,0.005329499736812857,0.004875196799623452,331.41507954197004,0.9993486756404689,0.9988019659926386,0.9989373007438895,0.9978768577494692,0.9984067976633032,0.9979976873606986,940.0,1.0,3663.0,2.0,0.0002729257641921397,0.0021231422505307855,0.9999623472258273,0.9999901491762394
6,0.002186879347167994,0.003672217195951657,331.821803290979,0.9995657837603127,0.9989384288747346,1.0,0.9978768577494692,0.9989373007438895,0.9986653404923068,940.0,0.0,3664.0,2.0,0.0,0.0021231422505307855,0.9999164196118814,0.9999774010513726
7,0.0022334594949431903,0.0039376664167998275,331.5867281249957,0.9995657837603127,0.9989384288747346,1.0,0.9978768577494692,0.9989373007438895,0.9986653404923068,940.0,0.0,3664.0,2.0,0.0,0.0021231422505307855,0.9997421130693522,0.9999177166485875
8,0.0011145417284730865,0.004009918932877232,330.75909583398607,0.9995657837603127,0.9989384288747346,1.0,0.9978768577494692,0.9989373007438895,0.9986653404923068,940.0,0.0,3664.0,2.0,0.0,0.0021231422505307855,0.999765005914014,0.9999246701712421
