model,params,disk,rss,p50,p95,p99,threads,fps,mcc,mcc_per_mparam,mcc_per_mb,mcc_per_ms
bert-tiny,4386178,18.494472,23.183359999999993,0.939813005970791,1.1065895349020138,1.340683479211293,1.0,1044.9005467654895,0.8932188257775963,0.2036,0.0483,0.9504
bert-mini,11171074,45.637769,34.58662399999997,3.5356454900465906,3.7730273703346024,4.531254986068234,1.0,280.9035028637568,0.9231747908563647,0.0826,0.0202,0.2611
electra-small,13549314,55.166463,72.302592,10.659812483936548,11.297370522515848,11.923318845801985,1.0,93.0567913395042,0.9074800366183008,0.067,0.0164,0.0851
tinybert-4l,14350874,58.357043,48.72601599999996,5.728957999963313,5.990518754697405,6.701279229018837,1.0,173.67860378223162,0.9206614029809311,0.0642,0.0158,0.1607
minilm-l6,22713986,91.813149,74.15398400000004,8.59372949344106,9.472139630815946,9.639271248597652,4.0,114.15979891671542,0.8971255240174828,0.0395,0.0098,0.1044
