model,n_params,n_seeds,mcc_mean,mcc_sd,f1_mean,f1_sd,prec_mean,rec_mean,rec_sd,pr_auc_mean,fp_mean
bert-tiny,4386178,3,0.8916275426482141,0.007806800304446028,0.9064066189181483,0.007161939596916701,0.9995584988962473,0.8291802094618995,0.011482927479656648,0.9606444153700107,0.3333333333333333
bert-mini,11171074,3,0.9341232939532249,0.00638551270382463,0.944721063517021,0.005588865824543984,1.0,0.8952690501986277,0.01006670990593453,0.9992724195611875,0.0
electra-small,13549314,3,0.9032534651243572,0.007361256549630032,0.9170624709569518,0.006723642295416107,1.0,0.8468761285662695,0.011482927479656612,0.9808741303887727,0.0
tinybert-4l,14350874,3,0.9259130385529225,0.06379103221868627,0.935888750772713,0.055268384799644486,1.0,0.8829902491874323,0.10072344132070604,0.9570727848059493,0.0
minilm-l6,22713986,3,0.885980752479305,0.0061232919524865925,0.9013332111604893,0.005507139141672296,0.9982363315696648,0.8215962441314554,0.008131693932248232,0.9227357334086227,1.3333333333333333
