model,n_params,disk_mb,rss_mb,cold_s,p50,p95,threads,fps,mcc,mcc_per_mb
bert-tiny,4386178,18.494472,23.183359999999993,0.055547248979564756,0.939813005970791,1.1065895349020138,1.0,1044.9005467654895,0.8916275426482141,4.821
bert-mini,11171074,45.637769,34.58662399999997,0.06811041705077514,3.5356454900465906,3.7730273703346024,1.0,280.9035028637568,0.9341232939532249,2.047
electra-small,13549314,55.166463,72.302592,0.114134292001836,10.659812483936548,11.297370522515848,1.0,93.0567913395042,0.9032534651243572,1.637
tinybert-4l,14350874,58.357043,48.72601599999996,0.0819606669829227,5.728957999963313,5.990518754697405,1.0,173.67860378223162,0.9259130385529225,1.587
minilm-l6,22713986,91.813149,74.15398400000004,0.06192620802903548,8.59372949344106,9.472139630815946,4.0,114.15979891671542,0.885980752479305,0.965
