model,ddos_wisenet-camera_80,dos_wisenet-camera_554,dos_wisenet-camera_80
bert-tiny,0.7141414141414142,0.9966666666666667,0.7872582480091013
bert-mini,0.8181818181818182,0.9977777777777779,0.8771331058020477
electra-small,0.7454545454545455,1.0,0.8043230944254836
tinybert-4l,0.804040404040404,0.9977777777777779,0.8543799772468715
minilm-l6,0.6979797979797979,0.9966666666666667,0.7815699658703071
