epoch,train_loss,val_loss,epoch_seconds,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mcc,val_tp,val_fp,val_tn,val_fn,val_false_positive_rate,val_false_negative_rate,val_pr_auc,val_roc_auc
1,0.2948939021907334,0.01728700374504224,174.96813754100003,0.9982631350412505,0.9957537154989384,1.0,0.9915074309978769,0.9957356076759062,0.9946593809387134,934.0,0.0,3664.0,8.0,0.0,0.008492569002123142,0.9999462057671668,0.9999860929546909
2,0.019891938505309337,0.0131299064410353,176.52689045801526,0.9982631350412505,0.9957537154989384,1.0,0.9915074309978769,0.9957356076759062,0.9946593809387134,934.0,0.0,3664.0,8.0,0.0,0.008492569002123142,0.9989606102954622,0.9993672294384335
3,0.016116722278815023,0.012262897491956528,180.53054079200956,0.9982631350412505,0.9957537154989384,1.0,0.9915074309978769,0.9957356076759062,0.9946593809387134,934.0,0.0,3664.0,8.0,0.0,0.008492569002123142,0.9992792833255904,0.9996931758128669
4,0.013764319233833958,0.0074869883861906315,177.02074199999333,0.9982631350412505,0.9957537154989384,1.0,0.9915074309978769,0.9957356076759062,0.9946593809387134,934.0,0.0,3664.0,8.0,0.0,0.008492569002123142,0.9999387047311157,0.999983775113806
5,0.012453173637790239,0.007280110505440273,176.09474033399601,0.9982631350412505,0.9957537154989384,1.0,0.9915074309978769,0.9957356076759062,0.9946593809387134,934.0,0.0,3664.0,8.0,0.0,0.008492569002123142,0.9994300624154653,0.9997905251300309
