N,kept_detected_pct,kept_mean_prob,sufficiency_drop,removed_detected_pct,removed_mean_prob,comprehensiveness_drop
0,0.0,0.0010456254240125418,0.9980685114860535,100.0,0.9991141557693481,0.0
1,90.8433734939759,0.9085640907287598,0.09054995328187943,0.0,0.001127098803408444,0.9979870319366455
2,92.40963855421687,0.9164614081382751,0.08265270292758942,0.0,0.0011326021049171686,0.9979814887046814
3,98.43373493975903,0.9740625023841858,0.025051647797226906,0.0,0.001108356169424951,0.9980056881904602
4,100.0,0.9990319609642029,8.222863107221201e-05,0.0,0.0010703842854127288,0.9980437755584717
5,100.0,0.9990345239639282,7.964394171722233e-05,0.0,0.0010684009175747633,0.9980456829071045
6,100.0,0.9990348219871521,7.932839798741043e-05,0.0,0.0010682386346161366,0.9980459809303284
7,100.0,0.9991059303283691,8.20863715489395e-06,0.0,0.001063950010575354,0.9980502128601074
8,100.0,0.9991075396537781,6.600604137929622e-06,0.0,0.001060547772794962,0.9980536699295044
9,100.0,0.9991096258163452,4.4088765207561664e-06,0.0,0.0010561634553596377,0.9980579614639282
10,100.0,0.9991152286529541,-1.0876052556341165e-06,0.0,0.0010534956818446517,0.9980605244636536
11,100.0,0.9991166591644287,-2.5392296265636105e-06,0.0,0.001049666665494442,0.998064398765564
12,100.0,0.9991146326065063,-4.910560846838052e-07,0.0,0.0010457925964146852,0.9980683326721191
13,100.0,0.9991141557693481,0.0,0.0,0.0010456254240125418,0.9980685114860535
