scenario,n,feature,mean_attr,mean_share,pct_positive
ddos_wisenet-camera_80,330,client max packet size,11.234593145233212,0.6973567907842062,100.0
ddos_wisenet-camera_80,330,server mean packet size,0.13371319690380584,0.025078210748711888,32.121212121212125
ddos_wisenet-camera_80,330,server bytes,-0.25592707156796346,0.024937185385358933,9.090909090909092
ddos_wisenet-camera_80,330,server stddev packet size,-0.5770544121380556,0.05271292684292538,27.27272727272727
ddos_wisenet-camera_80,330,client max inter-arrival,0.03502005909315564,0.014566841272811661,30.909090909090907
ddos_wisenet-camera_80,330,server stddev inter-arrival,0.2527868911115961,0.024052752789393932,100.0
ddos_wisenet-camera_80,330,server psh packets,0.12840485870873442,0.009277358144034405,100.0
ddos_wisenet-camera_80,330,client min inter-arrival,0.03530607410904133,0.024853066436541966,29.6969696969697
ddos_wisenet-camera_80,330,total min packet size,0.047202135258438915,0.022701092187197795,73.63636363636363
ddos_wisenet-camera_80,330,server min inter-arrival,0.17228840989145366,0.0635163918064158,32.121212121212125
ddos_wisenet-camera_80,330,total min inter-arrival,0.1126641126180237,0.01937181959533515,32.121212121212125
ddos_wisenet-camera_80,330,server rst packets,0.08180641615763307,0.007137877183748575,86.96969696969697
ddos_wisenet-camera_80,330,total rst packets,0.2082425863573779,0.014437686823318247,92.42424242424242
dos_wisenet-camera_554,300,client max packet size,13.454992618958155,0.8505552803302812,100.0
dos_wisenet-camera_554,300,server mean packet size,0.24204089096436898,0.020028112442291454,79.66666666666666
dos_wisenet-camera_554,300,server bytes,0.2152630123247703,0.020489608880550295,83.33333333333334
dos_wisenet-camera_554,300,server stddev packet size,-0.6435198893398046,0.043900607238237487,2.3333333333333335
dos_wisenet-camera_554,300,client max inter-arrival,-0.03390976676096519,0.003878840073928805,2.666666666666667
dos_wisenet-camera_554,300,server stddev inter-arrival,0.09792277570813894,0.0063794213262183905,94.66666666666667
dos_wisenet-camera_554,300,server psh packets,0.09247663020466765,0.005869135154969227,96.66666666666667
dos_wisenet-camera_554,300,client min inter-arrival,-0.08879875464985768,0.007217525799168636,2.666666666666667
dos_wisenet-camera_554,300,total min packet size,0.07639506494626402,0.00589569134018524,97.33333333333334
dos_wisenet-camera_554,300,server min inter-arrival,-0.17625375474492708,0.019620524878545497,2.666666666666667
dos_wisenet-camera_554,300,total min inter-arrival,0.01828742168843746,0.0016603942097208116,80.0
dos_wisenet-camera_554,300,server rst packets,0.05159818419255316,0.0032461328972540836,94.0
dos_wisenet-camera_554,300,total rst packets,0.17742852707703907,0.011258725428648846,94.0
dos_wisenet-camera_80,293,client max packet size,11.432167644844528,0.7584466169674111,100.0
dos_wisenet-camera_80,293,server mean packet size,0.1992560192233797,0.02122988444459278,97.61092150170649
dos_wisenet-camera_80,293,server bytes,0.14542123017381278,0.02626301807473751,75.76791808873719
dos_wisenet-camera_80,293,server stddev packet size,-0.26120237827479026,0.03721023604274971,24.573378839590443
dos_wisenet-camera_80,293,client max inter-arrival,-0.16027678952333058,0.02025673053795922,26.96245733788396
dos_wisenet-camera_80,293,server stddev inter-arrival,0.09070181124446335,0.01208759067828682,94.88054607508532
dos_wisenet-camera_80,293,server psh packets,0.13581835927597466,0.010087916594366503,99.65870307167235
dos_wisenet-camera_80,293,client min inter-arrival,0.08104362077502464,0.0178518854852633,25.597269624573375
dos_wisenet-camera_80,293,total min packet size,-0.06808987204239739,0.012865585482100818,75.42662116040955
dos_wisenet-camera_80,293,server min inter-arrival,0.19721147918965629,0.05409869460409778,26.96245733788396
dos_wisenet-camera_80,293,total min inter-arrival,0.11389151333796287,0.013718631489101046,100.0
dos_wisenet-camera_80,293,server rst packets,0.060528608929022586,0.004637082405789894,96.24573378839591
dos_wisenet-camera_80,293,total rst packets,0.14445086091370624,0.01124612719354356,98.29351535836177
