epoch,train_loss,val_loss,epoch_seconds,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mcc,val_tp,val_fp,val_tn,val_fn,val_false_positive_rate,val_false_negative_rate,val_pr_auc,val_roc_auc
1,0.3044440638259123,0.017739329969124643,286.6021016250015,0.9984802431610942,0.9962845010615711,1.0,0.9925690021231423,0.9962706446457112,0.9953272499301964,935.0,0.0,3664.0,7.0,0.0,0.0074309978768577496,0.9999752516170729,0.9999936259375666
2,0.012397975463405321,0.00313589150704568,288.13057841703994,0.9995657837603127,0.9993327515552712,0.9989384288747346,0.9989384288747346,0.9989384288747346,0.9986655031105425,941.0,1.0,3663.0,1.0,0.0002729257641921397,0.0010615711252653928,0.9999955113271659,0.9999988410795575
3,0.0055361727370197645,0.003228324714738106,288.1120772919967,0.9995657837603127,0.9997270742358079,0.9978813559322034,1.0,0.9989395546129375,0.9986674425798219,942.0,2.0,3662.0,0.0,0.0005458515283842794,0.0,0.9999988742617972,0.9999997102698894
4,0.0025237087068307896,0.0020189840800306407,287.84712429199135,0.9997828918801563,0.9998635371179039,0.9989395546129375,1.0,0.9994694960212201,0.9993332368492569,942.0,1.0,3663.0,0.0,0.0002729257641921397,0.0,0.9999977473285432,0.9999994205397789
5,0.002149693559560877,0.006239451242470942,288.0248508750228,0.9991315675206253,0.9994541484716157,0.9957716701902748,1.0,0.9978813559322034,0.9973387504825452,942.0,4.0,3660.0,0.0,0.001091703056768559,0.0,0.9999988742617972,0.9999997102698894
6,0.0016936381827116567,0.0030859242178754164,287.72044258302776,0.9995657837603127,0.9997270742358079,0.9978813559322034,1.0,0.9989395546129375,0.9986674425798219,942.0,2.0,3662.0,0.0,0.0005458515283842794,0.0,0.9999988742617971,0.9999997102698894
7,0.0015805825998109098,0.003432866674479522,286.96518487500725,0.9995657837603127,0.9997270742358079,0.9978813559322034,1.0,0.9989395546129375,0.9986674425798219,942.0,2.0,3662.0,0.0,0.0005458515283842794,0.0,0.9999954898667137,0.9999988410795576
8,0.001290498410264442,0.004314937936651625,287.36276916699717,0.9993486756404689,0.9995906113537119,0.9968253968253968,1.0,0.9984101748807631,0.9980026146387657,942.0,3.0,3661.0,0.0,0.0008187772925764192,0.0,0.9999966239753789,0.9999991308096683
