batch_size,threads,n_runs,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,std_ms,per_flow_ms,flows_per_second,peak_rss_mb,rss_delta_mb,precision
1,1,1000,10.746125947451219,10.659812483936548,11.171845893841237,11.297370522515848,11.923318845801985,0.3362101592004448,10.746125947451219,93.0567913395042,605.71648,21.839872000000014,fp32
8,1,200,95.78636148158694,95.679354009917,98.72067469987087,99.86743604240473,101.92206700448878,2.4904652761350046,11.973295185198367,83.51919705748342,837.615616,31.440896000000066,fp32
32,1,96,355.5352630107033,355.01956249936484,358.3847710106056,361.26032275205944,364.85179788141977,2.731813445040815,11.110476969084479,90.00513684358968,1186.414592,7.258111999999983,fp32
1,4,1000,15.825844471226446,15.788562479428947,16.65144608123228,16.934987489366904,17.430188074940816,0.6365620492391357,15.825844471226446,63.18778134197749,1187.10272,0.03276800000003277,fp32
8,4,200,78.88113853434334,78.25293752830476,84.68653330928646,85.81552976393141,87.90972116636112,4.055169749360154,9.860142316792917,101.41841444792222,1187.332096,0.0,fp32
32,4,96,220.2725139171283,217.00045850593597,238.92383350175805,244.18749976030085,250.76850237965115,10.721611079209694,6.883516059910259,145.2745938698423,1196.998656,1.1796480000000429,fp32
