epoch,train_loss,val_loss,epoch_seconds,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mcc,val_tp,val_fp,val_tn,val_fn,val_false_positive_rate,val_false_negative_rate,val_pr_auc,val_roc_auc
1,0.3079783050856414,0.01734399031871979,290.45619658299256,0.9984802431610942,0.9962845010615711,1.0,0.9925690021231423,0.9962706446457112,0.9953272499301964,935.0,0.0,3664.0,7.0,0.0,0.0074309978768577496,0.9988731013144878,0.9996158178733346
2,0.016549293627713714,0.010038150752147663,291.43706729100086,0.998697351280938,0.9968152866242038,1.0,0.9936305732484076,0.9968051118210862,0.9959950346743491,936.0,0.0,3664.0,6.0,0.0,0.006369426751592357,0.9999484534404993,0.999986672414912
3,0.008267945551134475,0.005210969115997076,290.70227187499404,0.9993486756404689,0.9988019659926386,0.9989373007438895,0.9978768577494692,0.9984067976633032,0.9979976873606986,940.0,1.0,3663.0,2.0,0.0002729257641921397,0.0021231422505307855,0.999966707911633,0.9999913080966818
4,0.00597382827732379,0.0025599559093592993,291.0148970829905,0.9995657837603127,0.9997270742358079,0.9978813559322034,1.0,0.9989395546129375,0.9986674425798219,942.0,2.0,3662.0,0.0,0.0005458515283842794,0.0,1.0,1.0
5,0.001051696611665155,0.00291338292021748,290.667989959009,0.9995657837603127,0.9989384288747346,1.0,0.9978768577494692,0.9989373007438895,0.9986653404923068,940.0,0.0,3664.0,2.0,0.0,0.0021231422505307855,0.9999988742617971,0.9999997102698893
6,0.002740459293913274,0.0042568627323255085,290.7786074170144,0.9991315675206253,0.9994541484716157,0.9957716701902748,1.0,0.9978813559322034,0.9973387504825452,942.0,4.0,3660.0,0.0,0.001091703056768559,0.0,0.9999999999999999,1.0
7,0.000941869746017896,0.00013450693209424877,291.0728176670382,1.0,1.0,1.0,1.0,1.0,1.0,942.0,0.0,3664.0,0.0,0.0,0.0,1.0,1.0
8,0.0001782989261839677,0.00010841480066480752,290.86775766697247,1.0,1.0,1.0,1.0,1.0,1.0,942.0,0.0,3664.0,0.0,0.0,0.0,1.0000000000000002,1.0
9,0.00015172857472528457,9.465748016804188e-05,293.2839286669623,1.0,1.0,1.0,1.0,1.0,1.0,942.0,0.0,3664.0,0.0,0.0,0.0,0.9999999999999999,1.0
10,0.0001399080242799936,8.995295011916021e-05,292.09592095797416,1.0,1.0,1.0,1.0,1.0,1.0,942.0,0.0,3664.0,0.0,0.0,0.0,1.0,1.0
