max_length,truncated_flows,p50_ms,p95_ms,mean_ms,flows_per_sec,speedup,saving_pct
192,0,3.549916495103389,3.8354208198143174,3.626350072251322,275.75936687744456,1.0,0.0
128,0,2.4937294656410813,2.6308372122002766,2.482316162010344,402.84957061639307,1.461,31.5
124,0,2.3827909608371556,2.5196562259225175,2.3990656225942075,416.82894814634506,1.512,33.8
122,0,2.410333516309038,2.5429836270632222,2.435669291492862,410.56476899090165,1.489,32.8
