epoch,train_loss,val_loss,epoch_seconds,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mcc,val_tp,val_fp,val_tn,val_fn,val_false_positive_rate,val_false_negative_rate,val_pr_auc,val_roc_auc
1,0.5419495053753833,0.2657144414669423,28.33413129200926,0.9316109422492401,0.8868247550042185,0.8479467258601554,0.8110403397027601,0.8290830168204015,0.7866670086696265,764.0,137.0,3527.0,178.0,0.03739082969432314,0.18895966029723993,0.9287248112572865,0.9750346806942398
2,0.23598980335003,0.11022532349545387,28.04139650001889,0.9722101606600086,0.9781952016058002,0.8883587786259542,0.9883227176220807,0.935678391959799,0.9201418425855397,931.0,117.0,3547.0,11.0,0.03193231441048035,0.01167728237791932,0.9829836747623009,0.9897890417118644
3,0.038662313791736826,0.018999999785764266,27.278886499989312,0.9978289188015632,0.9950864670542097,0.9989293361884368,0.9904458598726115,0.9946695095948828,0.9933206417538779,933.0,1.0,3663.0,9.0,0.0002729257641921397,0.009554140127388535,0.9972249412261803,0.9989268396703104
4,0.01862233179404663,0.016484454223830325,27.107364666997455,0.9978289188015632,0.9950864670542097,0.9989293361884368,0.9904458598726115,0.9946695095948828,0.9933206417538779,933.0,1.0,3663.0,9.0,0.0002729257641921397,0.009554140127388535,0.9986492983860112,0.9995859756719421
5,0.016471887219540838,0.01345114085568124,27.391170583025087,0.9982631350412505,0.9961480381794751,0.9989316239316239,0.9925690021231423,0.9957401490947817,0.9946573621917656,935.0,1.0,3663.0,7.0,0.0002729257641921397,0.0074309978768577496,0.9994170483451237,0.9998455738510463
6,0.016739786675734458,0.012902414914413872,28.003669166006148,0.9982631350412505,0.9961480381794751,0.9989316239316239,0.9925690021231423,0.9957401490947817,0.9946573621917656,935.0,1.0,3663.0,7.0,0.0002729257641921397,0.0074309978768577496,0.999851551733144,0.9999611761651787
7,0.014191089568078555,0.011851427884537061,27.011510875017848,0.9982631350412505,0.9961480381794751,0.9989316239316239,0.9925690021231423,0.9957401490947817,0.9946573621917656,935.0,1.0,3663.0,7.0,0.0002729257641921397,0.0074309978768577496,0.999919560365489,0.9999791394320362
8,0.0126693256583956,0.010751298878461614,28.229088000021875,0.9982631350412505,0.9961480381794751,0.9989316239316239,0.9925690021231423,0.9957401490947817,0.9946573621917656,935.0,1.0,3663.0,7.0,0.0002729257641921397,0.0074309978768577496,0.9999528873868427,0.9999878313353545
9,0.009784192226101097,0.010568987160716473,28.188545499986503,0.9982631350412505,0.9961480381794751,0.9989316239316239,0.9925690021231423,0.9957401490947817,0.9946573621917656,935.0,1.0,3663.0,7.0,0.0002729257641921397,0.0074309978768577496,0.9999708527072636,0.9999924670171242
